RMSE,MAE,MAPE,R2,Pearson_r,site,model,predictor_set,n_predictors,predictors
0.4977148322443623,0.4479290511873033,14.225096596682056,0.823287020147637,0.9349690154651048,evergreen,zero_shot,drop_least_important_pair,5,"tmmx,tmmn,srad,vpd,sph"
0.4788294464920116,0.4195310327741834,13.870745927162062,0.8364430570801603,0.9291052248655408,evergreen,zero_shot,no_moisture,5,"tmmx,tmmn,pr,srad,vs"
0.4703632076412117,0.4163064241409301,13.691920082932944,0.8421756640728688,0.9342592073782724,evergreen,zero_shot,no_pr,6,"tmmx,tmmn,srad,vpd,sph,vs"
0.4723881500621044,0.4104272418551974,13.647933573506185,0.8408138521599435,0.9320490027277392,evergreen,zero_shot,no_sph,6,"tmmx,tmmn,pr,srad,vpd,vs"
0.4755224216633896,0.4128507720099555,13.738965768671656,0.8386944602198737,0.9300505576285056,evergreen,zero_shot,no_srad,6,"tmmx,tmmn,pr,vpd,sph,vs"
0.4899707745392662,0.4289483732647366,13.974496855603103,0.8287432742721077,0.9305131109692654,evergreen,zero_shot,no_temperature,5,"pr,srad,vpd,sph,vs"
0.4805644594074065,0.4181370099385579,13.851037099486655,0.8352556299937823,0.9304296352545446,evergreen,zero_shot,no_tmmn,6,"tmmx,pr,srad,vpd,sph,vs"
0.4954941743501952,0.4371226178275214,14.204502027540428,0.8248603855320875,0.9297997757413898,evergreen,zero_shot,no_tmmx,6,"tmmn,pr,srad,vpd,sph,vs"
0.4917183679472729,0.4348183049096001,14.22665925042232,0.8275194426531368,0.9280157961953276,evergreen,zero_shot,no_vpd,6,"tmmx,tmmn,pr,srad,sph,vs"
0.5023241367684624,0.448539662361145,14.333082002461882,0.8199988096666303,0.9336880666399135,evergreen,zero_shot,no_vs,6,"tmmx,tmmn,pr,srad,vpd,sph"
0.489653569196124,0.4390893485811021,14.017001788787669,0.8289649444893348,0.9345910263446908,evergreen,zero_shot,top3_essential,3,"tmmx,tmmn,srad"
