site,count,mean,median,std,min,max,var
g010_shrubs_nd,11,0.3637882038531904,0.3687369524917254,0.2190988471646815,-0.0931050823451613,0.6193231246441393,0.048004304828892466
g047_trees_bd,11,0.35304821656426855,0.3094164166243051,0.17790668154205727,0.0062050131237052,0.6691484394620659,0.03165078733730698
g029_trees_bd,11,0.347403996431163,0.2908819690021839,0.25815758782978593,0.0479093993948643,0.6977293859121714,0.06664534015409364
g062_grass_nat,11,0.3065274546140108,0.2928601857676635,0.15726287281512458,0.1317986271388486,0.6063085288004109,0.02473161116606605
g051_shrubs_bd,11,0.2994480324092979,0.2999840201414364,0.11295280261056094,0.1107345351941454,0.5017938856460489,0.012758335617580342
g012_trees_ne,11,0.2874006626794123,0.3291696053041504,0.4057581597027339,-0.5786973214873068,0.8510966993687674,0.1646396841653493
g036_trees_ne,11,0.28418834748415733,0.2958655400158352,0.0949609048813317,0.1295727349891238,0.3992726360368225,0.009017573455881327
g064_shrubs_be,11,0.275391047745937,0.2349009107828629,0.12919332852919244,0.1130302048751872,0.501270169840946,0.01669091613645185
g042_grass_nat,11,0.24304817085255684,0.3609718232539445,0.33026820457008754,-0.2816685080445846,0.6336711171836333,0.10907708694994919
g037_trees_be,11,0.2330571751202882,0.3566222722104006,0.40995070593199007,-0.9848990554271976,0.458495976391235,0.168059581294137
g069_trees_nd,11,0.2263507481424316,0.3074813593800318,0.2962380377446641,-0.2294406590972413,0.604896154501352,0.08775697500680904
g057_grass_man,11,0.216984446844616,0.3088433261117989,0.3232431210899314,-0.3355561201291122,0.6786221109061386,0.10448611533196006
g066_grass_nat,11,0.19773531292468852,0.2612712058457301,0.4763315546383562,-1.0154248178535692,0.7042058508175316,0.2268917499441933
g006_trees_ne,11,0.1489968529409991,0.3936914246702049,0.8011681218475336,-2.181581305594787,0.7337132442471402,0.6418703594647045
g061_grass_nat,11,0.14730140172145897,0.1354230130981321,0.17517148450919978,-0.208787918418108,0.4837200466535858,0.03068504898515682
g058_shrubs_be,11,0.14372912423132636,0.4263395099533165,0.5551000833866143,-1.285225027987518,0.5155311622237517,0.3081361025758262
g049_trees_be,11,0.11890557749128293,0.1273639012990217,0.17730820222982155,-0.1141284646230793,0.4607710671652576,0.031438198577971296
g046_grass_man,11,0.11275120302024608,0.1629234829000142,0.17920056676452611,-0.1421115456133428,0.3392726646825416,0.032112843128727385
g050_grass_nat,11,0.05872916986786319,0.0572752839131003,0.13539431639541954,-0.2576226562073929,0.2626054443551864,0.018331620912182975
g002_grass_nat,11,0.003604929677078796,0.1790945310095067,0.7987970147709593,-2.3171350668728223,0.646265555406178,0.6380766708069963
g003_grass_man,11,0.002562920775704555,0.1738437562587544,0.4187875486578699,-0.7276282523894388,0.5790176856701253,0.17538301091086772
g039_trees_be,11,-0.024596971039713745,-0.0094390442772287,0.09263878647002374,-0.2294190254905583,0.1154425190620307,0.008581944758638655
g060_shrubs_be,11,-0.0554673406740177,-0.047809622575661,0.1521150938180167,-0.3155828432685192,0.2404585806090273,0.02313900176726402
g054_trees_be,11,-0.07157990896015023,0.0013365740690018,0.5486256998278906,-1.5407988127704797,0.4831384594055187,0.3009901585116427
g056_trees_bd,11,-0.0758902198665569,-0.0936488615628279,0.1612812032861948,-0.3212456443505276,0.2184462901776295,0.026011626533442894
g067_grass_nat,11,-0.07889667434108862,0.0776803784355355,0.43692818319989446,-1.0035273148531072,0.4256693848786139,0.19090623727436054
g007_shrubs_ne,11,-0.09273506939996387,-0.0056838007977575,0.34965151939063366,-0.7617598376731558,0.4787700136764756,0.12225618501217866
