site,count,mean,median,std,min,max,var
px024_shrubs_bd,11,0.7973267855745583,0.8191534290059506,0.13517508655160484,0.5207833606249697,0.942067690618425,0.01827230402423386
px007_shrubs_ne,11,0.7960109129639451,0.845547866024609,0.10316989659277251,0.6358103260141439,0.9001536945112837,0.010644027562963372
px019_shrubs_bd,11,0.7951322560307638,0.8606908555493877,0.22823932198187155,0.1861223215054941,0.9715769258214364,0.052093188098744435
px004_trees_ne,11,0.7834258446722522,0.7988071065934279,0.07246386698881631,0.6608891928886491,0.8833111840405257,0.005251012018972862
px050_shrubs_ne,11,0.7716976267391686,0.7719244035142456,0.1118868396754938,0.5691104979654602,0.9251163699604584,0.012518664892569654
px011_grass_man,11,0.7163587638478263,0.7675793457249568,0.1351439790393644,0.489033615494383,0.8710004413541712,0.018263895070592163
px009_shrubs_nd,11,0.6837649179022293,0.7157250688821184,0.20634052740160627,0.180789074497583,0.8953723892509139,0.04257641324837303
px064_shrubs_bd,11,0.6760746685064073,0.7448241129966262,0.1953845364814025,0.2543968098209187,0.9026121351446592,0.0381751170960525
px016_shrubs_ne,11,0.6296315008119091,0.8385596120934055,0.6473306256205642,-1.2955123925216707,0.9282718369455704,0.41903693886631105
px068_trees_nd,11,0.6142518717853878,0.6288031017555535,0.1481420799990962,0.2539704798866868,0.78605848094344,0.02194607586645862
px008_shrubs_bd,11,0.6099511948895631,0.6422344061897189,0.17307667133975216,0.2796822621111922,0.8618638166683186,0.029955534162048585
px059_shrubs_bd,11,0.5768049844501774,0.6493800832480645,0.3286671770434347,-0.3492385301389182,0.8710104663798328,0.10802211326570044
px046_grass_nat,11,0.5597829925813654,0.6857619974856919,0.29703646379931425,-0.1289406576581564,0.7983564074477703,0.08823066082640132
px062_shrubs_nd,11,0.5512912031014888,0.6032935386731986,0.24710206632567427,-0.1610652081371646,0.7714567798362388,0.061059431182417925
px049_grass_nat,11,0.5335142956276967,0.6380844042396281,0.2974117050471731,-0.0001896715474123,0.92547308487801,0.0884537222990667
px057_shrubs_nd,11,0.5264902413187534,0.5591084472818021,0.2715608209571807,0.0694963005327283,0.8386524171726114,0.07374527947893796
px028_grass_nat,11,0.5155497152113772,0.5185200666628976,0.08795259950930874,0.3932524855856063,0.6625849255029267,0.007735659760444856
px056_shrubs_nd,11,0.500706322278108,0.6351604773377566,0.3803520749672803,-0.4165342524853406,0.7974022735219553,0.1446677009319156
