RMSE,MAE,MAPE,R2,Pearson_r,site,mode,test_year,window_start,window_years,n_context,n_test,elapsed_sec
1.0851663849007849,0.7675979634126028,74.99210367599098,0.3936914246702049,0.6943209473455902,g006_trees_ne,zero_shot,2021,2009,12,153,9,0.02
1.0959773865331808,0.7934646066278219,68.52341044271657,0.1029534749948081,0.4216602149803127,g006_trees_ne,zero_shot,2022,2010,12,149,16,0.02
0.09846257008801,0.0843519777059555,32.122193483536925,0.4787700136764756,0.6944764783693784,g007_shrubs_ne,zero_shot,2012,2000,12,229,20,0.02
0.268855963407183,0.175643106456846,46.66032637460372,-0.0056838007977575,0.3335649600709746,g007_shrubs_ne,zero_shot,2013,2001,12,234,16,0.02
0.2383286532154374,0.2113108872435987,90.23383494355912,0.2165441823039836,0.5743412285477989,g007_shrubs_ne,zero_shot,2014,2002,12,231,16,0.02
0.1879492362005307,0.1572458520531654,85.43629834791481,0.0420361657600814,0.260348971814494,g007_shrubs_ne,zero_shot,2015,2003,12,225,12,0.02
0.3731424942868752,0.2689002110407902,87.39231153931628,-0.2463331638525916,-0.1917986919206266,g007_shrubs_ne,zero_shot,2016,2004,12,216,13,0.02
0.2575536411070785,0.2048217571879688,51.58465255923998,-0.0104021186936644,0.7167670912756088,g007_shrubs_ne,zero_shot,2017,2005,12,207,19,0.02
0.2084475192500139,0.1842481726780533,57.891127440506985,-0.1696419143674308,0.3332206570181102,g007_shrubs_ne,zero_shot,2018,2006,12,205,16,0.02
0.2513825108927205,0.189966263456477,45.90341404154056,0.0060879881264008,0.407037772832952,g007_shrubs_ne,zero_shot,2019,2007,12,203,18,0.02
0.2861136789625582,0.2511022337712347,118.30922994221456,0.0369289410919175,0.3063370367595137,g007_shrubs_ne,zero_shot,2020,2008,12,202,16,0.02
0.2237656574579449,0.1725669397335303,111.82293997852145,-0.7617598376731558,0.2740868404769979,g007_shrubs_ne,zero_shot,2021,2009,12,202,19,0.02
0.2611878765800923,0.2026958493515849,32.70029058822221,-0.6066322189738613,0.3326315703531849,g007_shrubs_ne,zero_shot,2022,2010,12,201,16,0.02
0.2278283307144848,0.1672084096819162,53.762303427476056,0.7167876330196754,0.8952253072447595,g008_grass_nat,zero_shot,2012,2000,12,232,20,0.02
0.2524001175256237,0.1914903273185094,49.46410726803708,0.6209624014089934,0.8126799537541229,g008_grass_nat,zero_shot,2013,2001,12,233,21,0.02
0.3749233218441326,0.2735011250608497,85.28362645615304,0.4067491404488156,0.7894723123938154,g008_grass_nat,zero_shot,2014,2002,12,237,18,0.02
0.2389795050588872,0.1737983458136257,73.27040644878883,0.6955530825588931,0.870630703804363,g008_grass_nat,zero_shot,2015,2003,12,235,19,0.02
0.2625151571015119,0.1688278545108106,55.95907566673715,0.7349453528255119,0.8635127487512113,g008_grass_nat,zero_shot,2016,2004,12,233,18,0.02
0.1571647456615287,0.1247688492662028,29.750879286428187,0.8591315419715753,0.9420921702581516,g008_grass_nat,zero_shot,2017,2005,12,233,19,0.02
0.2330256166627809,0.2007174186016384,52.560409621569015,0.7023589591733501,0.8434144998511501,g008_grass_nat,zero_shot,2018,2006,12,231,19,0.02
0.3658764551034402,0.2383602737552589,128.16769439846007,0.2890927678159402,0.6453574231048311,g008_grass_nat,zero_shot,2019,2007,12,230,18,0.02
0.3718662028438696,0.2658382454200795,36.34301213049033,0.6058685121859292,0.9107282036839912,g008_grass_nat,zero_shot,2020,2008,12,229,19,0.02
0.3267602691584171,0.235687320785863,94.869452765278,0.1986628398699146,0.7639309922481646,g008_grass_nat,zero_shot,2021,2009,12,228,21,0.02
0.2472448094411459,0.198747528226752,37.95973761508016,0.7085587793432526,0.8690541738832883,g008_grass_nat,zero_shot,2022,2010,12,229,19,0.02
0.1981080568631365,0.1555081169520105,23.290312484992693,0.760411958140133,0.9408501099217792,g009_grass_nat,zero_shot,2012,2000,12,238,21,0.02
0.194862573713,0.1551092596430527,21.30422679277362,0.8021408191508241,0.9062775130632496,g009_grass_nat,zero_shot,2013,2001,12,238,19,0.02
0.2033410029731325,0.1434731131250208,32.300989148414615,0.8313340046167728,0.9137710973074784,g009_grass_nat,zero_shot,2014,2002,12,239,22,0.02
0.2138471926956539,0.1717706691959629,32.38790765365746,0.6770160382515769,0.8427386416933866,g009_grass_nat,zero_shot,2015,2003,12,243,23,0.02
0.2628191370880144,0.1799041800200939,30.86768610452686,0.4824956114120264,0.721018399467259,g009_grass_nat,zero_shot,2016,2004,12,244,20,0.02
0.2160311602573054,0.1762991991071474,37.750090469697575,0.6244300573256156,0.8263893888919729,g009_grass_nat,zero_shot,2017,2005,12,246,21,0.02
0.3381504006383465,0.2484194500879808,41.41330145024162,0.3818461259463509,0.724115135289443,g009_grass_nat,zero_shot,2018,2006,12,248,22,0.02
0.2337564251902234,0.1716243984258693,31.652969046797946,0.6963053924467473,0.8545063076257124,g009_grass_nat,zero_shot,2019,2007,12,249,23,0.02
0.2415676414814148,0.161706054849284,69.48432003171109,0.5733666878823707,0.7633399753877393,g009_grass_nat,zero_shot,2020,2008,12,252,21,0.02
0.2060887720593731,0.1402209997177124,27.398297762089395,0.7865237152081782,0.8933398992232957,g009_grass_nat,zero_shot,2021,2009,12,253,21,0.02
0.1475480705485178,0.1167106763237998,19.032193888231543,0.7875937814190351,0.9043252929072002,g009_grass_nat,zero_shot,2022,2010,12,254,21,0.02
0.4384438621007054,0.3425662118409361,101.2770500068205,0.5104252921371719,0.7243763233168153,g010_shrubs_nd,zero_shot,2012,2000,12,173,14,0.02
0.5943805009108827,0.4610837342010604,101.98475426274145,0.3208012476724962,0.5895944264476188,g010_shrubs_nd,zero_shot,2013,2001,12,175,18,0.02
0.4108713866478748,0.3422199347439934,78.02172252753493,0.5156114001722181,0.7234269466581377,g010_shrubs_nd,zero_shot,2014,2002,12,179,17,0.02
0.6381077735129683,0.5154034505997386,75.41976912115679,0.3253227090629371,0.6596082582363871,g010_shrubs_nd,zero_shot,2015,2003,12,181,14,0.02
0.4516119137860686,0.3871384263038635,38.9873927702644,-0.0931050823451613,0.623328921539007,g010_shrubs_nd,zero_shot,2016,2004,12,179,14,0.02
0.5055661531387694,0.3630745724907943,41.5424378463507,0.3687369524917254,0.6667251613738804,g010_shrubs_nd,zero_shot,2017,2005,12,179,14,0.02
0.5013636832097995,0.3902655352766697,89.15880436121087,0.0410658868125294,0.3709899786052059,g010_shrubs_nd,zero_shot,2018,2006,12,176,13,0.02
0.4842856963933493,0.3801283631473779,103.81485126826624,0.6193231246441393,0.8397400440529506,g010_shrubs_nd,zero_shot,2019,2007,12,174,16,0.02
0.5671565762257844,0.459818959236145,117.4938645452336,0.522221354178763,0.7331557078926491,g010_shrubs_nd,zero_shot,2020,2008,12,173,13,0.02
0.5550496372133332,0.3974439948797226,113.17652628571994,0.339419088944348,0.6354829027081843,g010_shrubs_nd,zero_shot,2021,2009,12,171,14,0.02
0.386199705241019,0.2702424679882824,35.537077161504335,0.5318482686139269,0.761928564891467,g010_shrubs_nd,zero_shot,2022,2010,12,171,16,0.02
0.3050795593067195,0.2371962885646259,74.48529908658917,0.6073247875853289,0.7796941515533993,g011_shrubs_ne,zero_shot,2012,2000,12,182,17,0.02
0.3997221528386999,0.302389333024621,65.56280265822893,0.4843278404654733,0.7092096444808751,g011_shrubs_ne,zero_shot,2013,2001,12,186,16,0.02
0.1807605749689778,0.1343665925018927,19.253758184645203,0.8886713362091249,0.946868141998054,g011_shrubs_ne,zero_shot,2014,2002,12,186,17,0.02
0.1655624401624303,0.1342995412209454,28.338918213699717,0.8926300302154193,0.9494060121195316,g011_shrubs_ne,zero_shot,2015,2003,12,191,17,0.02
0.2502512232878147,0.2152816671878099,33.91180596225297,0.7513235212848891,0.8898885654930003,g011_shrubs_ne,zero_shot,2016,2004,12,190,16,0.02
0.1880740450318156,0.1607201182666947,39.26121340968849,0.8496696502177166,0.9360003857850258,g011_shrubs_ne,zero_shot,2017,2005,12,192,17,0.02
0.3558343734408045,0.2523237193624179,70.27367210464054,0.5364615589547257,0.7688766150956801,g011_shrubs_ne,zero_shot,2018,2006,12,195,15,0.02
0.2517768832119439,0.2165318722836673,25.49313608081641,0.6902414711340976,0.8612232758238695,g011_shrubs_ne,zero_shot,2019,2007,12,191,16,0.02
0.3309104302331377,0.2748981480797132,64.70668247254217,0.6956030840692053,0.8341828893719009,g011_shrubs_ne,zero_shot,2020,2008,12,193,15,0.02
0.3401454473526688,0.2281756252050399,54.77960722018069,0.4278624409228084,0.7686108605702143,g011_shrubs_ne,zero_shot,2021,2009,12,192,15,0.02
