composite_index,site,n_years,R2,Pearson_r
5,g029_trees_bd,10,0.14714660703290616,0.4392186715063641
5,g030_grass_nat,10,-0.8712227766196647,-0.33697390914156883
5,g032_shrubs_bd,11,0.2684508161063114,0.548915361742244
5,g033_grass_nat,11,0.04919559205546875,0.2660805684172094
5,g034_grass_man,11,0.20545708428068876,0.4862936824857768
5,g035_grass_man,9,-0.17548390761506272,0.13708848742525523
5,g037_trees_be,11,-0.22594990315505292,0.04057051359720514
5,g038_grass_nat,11,-0.21463043982567687,-0.03496202641054086
5,g039_trees_be,11,-0.5462585805386668,0.10340901442727213
5,g040_trees_be,11,0.05746521155082407,0.3905233877032234
5,g042_grass_nat,11,-0.6800236630665073,0.43302322434686974
5,g043_grass_man,11,-0.07404681026655724,-0.17487949580855944
5,g044_grass_man,11,-0.08139334699867984,0.2549758120013176
5,g045_grass_nat,11,-0.22267684724361447,0.05995295891230777
5,g046_grass_man,10,-0.08192859870425462,0.2767968953632442
5,g047_trees_bd,11,-0.051250815866146215,0.38082143186695117
5,g048_shrubs_bd,11,0.14143008491758746,0.38585705539664056
5,g049_trees_be,11,0.47414846813251954,0.6974663721702415
5,g050_grass_nat,11,-1.5684400588237728,-0.32440703923543174
5,g051_shrubs_bd,11,-0.2762223505296235,0.02263482660027134
5,g055_shrubs_bd,11,-0.29814487949991375,-0.238431450755048
5,g056_trees_bd,11,-0.2827467678879021,-0.05805459889887566
5,g057_grass_man,11,0.2111186951673678,0.5435080250726584
5,g058_shrubs_be,11,-0.34855355065050353,0.15867350371781808
5,g059_grass_man,11,-0.10757355319159023,0.10761353308327055
5,g060_shrubs_be,10,-0.7218756601261289,-0.05271207382069933
5,g061_grass_nat,11,-0.06708140508684046,0.3770021329457613
5,g063_shrubs_bd,11,0.10564329744668133,0.4898139838354313
5,g064_shrubs_be,11,0.06467893027341987,0.32601564345025025
5,g065_shrubs_bd,11,0.47062194862589424,0.6901179358004474
5,g066_grass_nat,11,0.5136390704668602,0.7548290099400623
5,g067_grass_nat,11,-0.3685530114223192,-0.07863284176879302
5,g068_grass_nat,11,0.050719490890215546,0.3400195634885434
5,g069_trees_nd,9,0.4096867174468065,0.6893561338961809
6,g019_trees_bd,10,-3.471623971999593,-0.1710155629442052
6,g024_trees_ne,10,-0.4272703782062992,-0.2220591119735225
6,g025_grass_nat,8,-0.48096461352394404,-0.2738263605032187
6,g029_trees_bd,10,-0.19890331822023,-0.024031930182942595
6,g030_grass_nat,9,0.07648220101359415,0.3850376257302561
6,g032_shrubs_bd,11,-0.022185634714734448,0.3227880170192271
6,g033_grass_nat,11,-0.15653381074491945,0.1164849238489621
6,g034_grass_man,11,0.2368128767928369,0.7681339208923236
6,g035_grass_man,10,-0.8766512465689484,-0.06499212208157422
6,g036_trees_ne,8,-0.37263738415555325,0.1361356795073194
6,g037_trees_be,10,-0.12098814454776119,-0.14566559393539974
6,g038_grass_nat,11,-0.7719980224794802,0.07786917217823935
6,g039_trees_be,11,-1.79899316437856,-0.13932922267522713
6,g040_trees_be,10,-0.15735446419177168,-0.09585056422826597
6,g042_grass_nat,11,-0.22848907732094248,0.27961012254208045
6,g043_grass_man,11,-0.20292297597547249,0.3556065972163198
6,g044_grass_man,11,-0.002558149642818419,0.32721082357423764
6,g045_grass_nat,11,-0.13850496041650429,0.11970328067837503
6,g046_grass_man,11,-0.21602542404048863,0.3266846261313631
6,g047_trees_bd,11,0.018146965190091735,0.19685015324952707
6,g048_shrubs_bd,11,0.15153252732407607,0.4185497538375928
6,g049_trees_be,11,0.6631409566269384,0.8337439916500227
6,g050_grass_nat,11,0.039371057782492835,0.25467820265306673
6,g051_shrubs_bd,11,-0.1395344663514273,0.045205289286161375
6,g055_shrubs_bd,11,-0.5049771115792641,0.3922399130058151
6,g056_trees_bd,10,-0.5660530777003785,0.12537354523153046
6,g057_grass_man,11,0.3947433356461396,0.7519426200837428
6,g058_shrubs_be,10,-0.3760669823072045,-0.1184194098388402
6,g059_grass_man,10,-0.3724655563918211,0.2052336666996088
6,g060_shrubs_be,8,0.4541139635588378,0.6785838529669608
6,g061_grass_nat,10,0.14308023689601213,0.6449741688827839
6,g062_grass_nat,8,-0.557672129738787,0.3267077597529466
6,g063_shrubs_bd,10,0.04645567039059206,0.35057330394316394
6,g064_shrubs_be,11,-0.5450299327639903,-0.4190610021386124
6,g065_shrubs_bd,11,0.34970136031426,0.6100263001974321
6,g066_grass_nat,11,0.8225736531867924,0.937135139776106
6,g067_grass_nat,11,0.41229668624583027,0.7830109468365136
6,g068_grass_nat,11,-0.25351302982243307,0.2351953308641392
6,g069_trees_nd,9,0.29230780593573646,0.5802190584848637
7,g024_trees_ne,9,0.4961415723343551,0.7528263059005225
7,g025_grass_nat,8,-0.46517519647630357,0.19246970699359983
7,g029_trees_bd,9,-0.29001972166987544,-0.0771991439914765
7,g030_grass_nat,8,0.24285132097481266,0.5613129539744443
7,g032_shrubs_bd,10,-0.017880917218716652,0.1772070298510909
7,g033_grass_nat,10,0.034971191858931716,0.2169783901995315
7,g034_grass_man,10,0.5653997228639317,0.7825976711499016
7,g035_grass_man,10,0.38794301052293934,0.7338306889209234
7,g036_trees_ne,8,-0.25966080232055444,-0.1824596726071108
7,g037_trees_be,9,0.07913182896385929,0.47884914552018
7,g038_grass_nat,10,-1.0695992009934066,-0.5095335612747603
7,g039_trees_be,9,-0.2725195049681126,0.16870976525919754
7,g042_grass_nat,10,-1.0018841783178698,0.5045886548617431
7,g043_grass_man,9,-0.4484186753692869,0.48722673413952633
