pixel_id,row,col,lat,lon,region,dominant_pft,pft_purity,pft_entropy,mean_lai,amplitude,is_forced_anchor,frac_TREES_NE,frac_TREES_BD,frac_TREES_BE,frac_TREES_ND,frac_SHRUBS_NE,frac_SHRUBS_BE,frac_SHRUBS_BD,frac_SHRUBS_ND,frac_GRASS_NAT,frac_GRASS_MAN
px011_grass_man,8,49,49.06666666666667,-122.72499996666667,Pacific Northwest,GRASS_MAN,1.0,2.486791883526962e-10,1.1710823774337769,1.2681143283843994,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
px012_trees_nd,59,125,46.94166666666667,-119.55833330000002,Pacific Northwest,TREES_ND,0.5,0.6931471824645996,1.05552077293396,1.769929051399231,False,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5
px013_grass_man,27,614,48.275000000000006,-99.18333330000002,Great Plains,GRASS_MAN,0.5099999904632568,0.6929471492767334,0.6157939434051514,2.1644034385681152,False,0.49000000953674316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5099999904632568
px014_grass_man,12,700,48.900000000000006,-95.59999996666667,Great Plains,GRASS_MAN,0.5199999809265137,0.6923469305038452,1.008085012435913,2.6067028045654297,False,0.0,0.47999998927116394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5199999809265137
px015_shrubs_nd,378,331,33.650000000000006,-110.97499996666667,Southwest,SHRUBS_ND,0.47999998927116394,0.9469139575958252,0.3002781867980957,0.19362293183803558,False,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.47999998927116394,0.41999998688697815,0.0
px016_shrubs_ne,379,589,33.608333333333334,-100.22499996666667,Great Plains,SHRUBS_NE,0.5299999713897705,0.6913461089134216,0.5793080925941467,0.505025327205658,False,0.0,0.0,0.0,0.0,0.5299999713897705,0.0,0.0,0.0,0.4699999988079071,0.0
px017_grass_man,397,564,32.858333333333334,-101.26666663333334,Great Plains,GRASS_MAN,0.532608687877655,0.6910190582275391,0.5146677494049072,0.48690804839134216,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46739131212234497,0.532608687877655
px018_trees_nd,168,775,42.400000000000006,-92.47499996666667,Midwest,TREES_ND,0.5400000214576721,0.6899437308311462,0.819801926612854,2.598552703857422,False,0.0,0.0,0.0,0.5400000214576721,0.0,0.0,0.0,0.0,0.46000000834465027,0.0
px019_shrubs_bd,392,631,33.06666666666667,-98.47499996666667,Great Plains,SHRUBS_BD,0.5099999904632568,0.6929471492767334,0.9481754899024963,1.1375041007995605,False,0.0,0.0,0.0,0.0,0.0,0.0,0.5099999904632568,0.0,0.49000000953674316,0.0
px020_trees_ne,28,197,48.233333333333334,-116.55833330000002,Northern Rockies / Great Basin,TREES_NE,0.5555555820465088,0.6869615316390991,1.2906451225280762,2.0628671646118164,False,0.5555555820465088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444444477558136,0.0
