pixel_id,R2_baseline,RMSE_baseline,R2_fractional,RMSE_fractional,R2_dominant,RMSE_dominant,R2_shuffled,RMSE_shuffled,dominant_pft,pft_purity,pft_entropy,delta_fractional_vs_baseline,delta_fractional_vs_shuffled,delta_dominant_vs_baseline
px010_grass_nat,0.8975693050834983,0.3795721938795528,0.8955423456632722,0.3833093959495564,0.8954875482966022,0.3834099227692991,0.895713662324975,0.3829949420534803,GRASS_NAT,1.0,2.486791883526962e-10,-0.0020269594202261265,-0.0001713166617027806,-0.0020817567868961495
px011_grass_man,0.5349989235023477,0.2965344283984645,0.5373534627388337,0.2957827225793955,0.5376530161064015,0.2956869506993563,0.5383966477258508,0.2954490658870947,GRASS_MAN,1.0,2.486791883526962e-10,0.0023545392364859863,-0.001043184987017165,0.0026540926040538038
px012_trees_nd,0.9525199663481244,0.1541727057107924,0.950000327900036,0.1582105948212256,0.9500172244941196,0.1581838601850832,0.9500075917357126,0.158199102170807,TREES_ND,0.5,0.6931471824645996,-0.002519638448088446,-7.263835676618591e-06,-0.0025027418540047863
px013_grass_man,0.926570518939244,0.2276357319781685,0.9297125584336474,0.2227122330857741,0.9296138446059056,0.2228685701419808,0.9295327629813632,0.2229969003832801,GRASS_MAN,0.5099999904632568,0.6929471492767334,0.0031420394944033925,0.0001797954522841927,0.003043325666661545
px014_grass_man,0.9501177493782564,0.2392001131715366,0.9494206744472582,0.2408656546288211,0.9494053202740232,0.2409022111894366,0.9495814427633228,0.2404825496214623,GRASS_MAN,0.5199999809265137,0.6923469305038452,-0.0006970749309982427,-0.00016076831606459674,-0.0007124291042331921
px015_shrubs_nd,0.2970853251387649,0.0691672425085315,0.3058590153910202,0.0687342187317203,0.3061065009847622,0.0687219645601536,0.306149389565183,0.0687198407233884,SHRUBS_ND,0.4799999892711639,0.9469139575958252,0.008773690252255273,-0.00029037417416283295,0.00902117584599732
px016_shrubs_ne,0.7925945446587042,0.0522188274175404,0.7889859781376872,0.0526711360090104,0.7886650078798799,0.0527111794241919,0.7884315365783017,0.0527402875962958,SHRUBS_NE,0.5299999713897705,0.6913461089134216,-0.0036085665210169315,0.0005544415593855545,-0.003929536778824239
px017_grass_man,0.4754802481935516,0.1000090375542538,0.4642303529122729,0.1010758441899966,0.4652306393345041,0.1009814453843832,0.4626387573721021,0.1012258644146191,GRASS_MAN,0.532608687877655,0.6910190582275391,-0.011249895281278732,0.0015915955401707982,-0.010249608859047521
px018_trees_nd,0.9100508535213124,0.3244116209498711,0.9106233747412996,0.3233775420682216,0.9108507657939838,0.3229659132466306,0.9106439886616318,0.3233402478468166,TREES_ND,0.5400000214576721,0.6899437308311462,0.0005725212199871876,-2.0613920332146485e-05,0.0007999122726713992
px019_shrubs_bd,0.8311838549408023,0.1724162131558017,0.8225721934357088,0.1767591704381824,0.8233219349353414,0.1763853170294077,0.8223929027628227,0.1768484553965578,SHRUBS_BD,0.5099999904632568,0.6929471492767334,-0.008611661505093515,0.0001792906728860233,-0.00786192000546082
px020_trees_ne,0.903619841092313,0.2263265189749173,0.9076502389909396,0.2215437551614093,0.907525870050835,0.2216928832770779,0.9062072266040708,0.2232679134616543,TREES_NE,0.5555555820465088,0.6869615316390991,0.004030397898626581,0.001443012386868725,0.00390602895852199
px021_grass_nat,0.9077044703010096,0.0974950340828971,0.9061220802043064,0.0983272495242458,0.9063467469304028,0.0982095216603697,0.906023033034039,0.0983791065976427,GRASS_NAT,0.5600000023841858,0.6859297752380371,-0.0015823900967032456,9.904717026743004e-05,-0.0013577233706068004
px022_grass_nat,0.9648798567607494,0.1482719780403393,0.9663177075878976,0.1452050641506429,0.9662441775011086,0.1453634726122711,0.9663463108987678,0.1451433963211736,GRASS_NAT,0.6172839403152466,0.9304575324058532,0.0014378508271482016,-2.8603310870178866e-05,0.0013643207403591928
px023_shrubs_ne,0.7677654276594635,0.3398093605877191,0.7728941370466701,0.3360362075193668,0.7729137188131139,0.3360217201690762,0.7709941860317067,0.3374389070587232,SHRUBS_NE,0.6899999976158142,0.8338149785995483,0.005128709387206554,0.0018999510149634302,0.005148291153650342
px024_shrubs_bd,0.7089755721285109,0.1061564215010593,0.7163041558776346,0.1048112824681764,0.7158418452923498,0.1048966479074404,0.7165707696535977,0.1047620207309428,SHRUBS_BD,0.6600000262260437,0.8743470907211304,0.007328583749123707,-0.0002666137759630427,0.006866273163838921
