,tmmx,tmmn,pr,srad,vpd,sph,vs
2021-03-25,305.93887,288.83185,0.0,264.83408,1.1079819,0.010691642,2.4684386
2021-03-26,305.9916,291.97464,0.015258789,233.9637,1.2195599,0.012660485,3.3420546
2021-03-27,307.40637,292.95563,0.05340576,219.8748,1.2549734,0.012802691,1.7317551
2021-03-28,304.14566,291.25916,0.00667572,206.41333,1.2879143,0.0115758395,2.8595123
2021-03-29,299.67276,289.27692,0.019073486,175.23409,1.1262909,0.008373573,1.1724143
2021-03-30,300.3678,288.71393,6.2823296,156.00075,0.47026598,0.010974882,2.0312886
2021-03-31,304.24695,290.9771,0.32949448,218.73703,0.7111964,0.013250716,1.8825839
2021-04-01,298.39105,285.45728,0.64849854,287.85187,1.0597548,0.0062719807,3.9465177
2021-04-02,289.5036,277.79718,0.0,311.62445,0.87434924,0.002568188,3.672762
2021-04-03,293.25394,276.04004,0.0,301.92148,0.65049404,0.003851295,2.1156356
2021-04-04,297.10724,278.5294,0.0,300.15704,0.76965624,0.005278473,0.8732703
2021-04-05,298.98508,280.28748,0.0,305.0415,0.96141136,0.0055404073,1.1518557
2021-04-06,300.72455,282.17935,0.0,301.52963,1.1006615,0.0060529695,1.649436
2021-04-07,302.27286,283.32504,0.0,302.6911,1.2201282,0.0066833235,1.9508402
2021-04-08,301.43042,284.10162,0.0,243.58223,1.1644467,0.007534241,2.5117497
2021-04-09,300.18048,287.72083,0.0,156.02667,0.95854044,0.009373084,1.646182
2021-04-10,302.7649,291.06113,2.2377968,201.06592,0.9260942,0.0109305335,3.0867283
2021-04-11,295.73508,286.19275,4.0278435,125.10889,0.23602033,0.010657471,2.6478026
2021-04-12,302.89258,290.14618,0.4181862,313.0926,1.1855431,0.008639686,1.7863381
2021-04-13,304.39966,287.15082,0.0,307.57706,1.5338037,0.006921652,0.95597553
2021-04-14,304.9838,288.82855,0.0,247.25778,1.3033217,0.009236814,2.305804
2021-04-15,301.1838,291.75043,0.74768066,123.08963,1.2424425,0.009651683,3.3426003
2021-04-16,295.6908,288.04562,6.181717,159.84964,0.5610825,0.010248032,1.7240816
2021-04-17,296.2937,288.26492,20.908833,117.3074,0.23414457,0.011272652,0.88941705
2021-04-18,295.39093,290.45502,31.57568,92.617775,0.13948655,0.012937426,1.5436375
2021-04-19,298.26984,289.222,7.7605247,311.22815,0.71153605,0.010213132,2.0283122
2021-04-20,298.75372,285.39008,0.97322464,234.95555,0.669413,0.009200384,0.84489584
2021-04-21,301.4724,288.68762,0.15544891,320.81705,1.0427408,0.009294193,1.946685
2021-04-22,297.02536,282.75006,0.0,325.56668,1.1251596,0.0046054875,2.4843135
2021-04-23,298.11456,282.00482,0.0,304.2385,0.7245835,0.006864997,2.2769532
2021-04-24,300.81366,290.54388,3.7522316,159.54297,0.6551316,0.011374572,3.2630854
2021-04-25,299.88458,291.95996,0.5402565,285.80075,0.72472143,0.011804818,2.5324407
2021-04-26,301.2895,285.51547,0.0,299.56223,0.97540987,0.009222243,1.8644874
2021-04-27,301.6031,289.3566,0.0,309.90518,0.92317057,0.010402445,2.7335658
2021-04-28,303.0141,289.5746,0.0,288.8252,0.9903754,0.010719054,2.0520437
2021-04-29,304.6322,290.84906,0.0,279.3141,1.1104984,0.011677495,2.1585643
2021-04-30,303.82507,292.615,0.7882118,241.66296,1.084002,0.012853422,2.8959339
2021-05-01,302.3514,289.57776,0.0,321.69556,1.4318738,0.009278125,1.2365661
