site,lat,lon,date,raw_ground_truth,AELSTM,BiLSTM,LSTM,GRU,RNN,CNN,RF,SVM,Chronos-2 (zero-shot),Chronos-2 (LoRA fine-tuned)
low_amplitude,37.525000000000006,-117.55833330000002,2022-05-17,0.3844880609269675,0.3777938682924938,0.3802499186720167,0.3836652876578775,0.3788459270676301,0.3787673931027255,0.3805605265008665,0.3773186261546579,0.3679483788388621,0.35357803,0.28710938
low_amplitude,37.525000000000006,-117.55833330000002,2022-05-25,0.3806760282590776,0.3792103020853903,0.379253014777893,0.3828741385181667,0.380589762115834,0.3847632578734132,0.3843546648700225,0.3796246634589321,0.3716504332854966,0.3633026,0.30078125
low_amplitude,37.525000000000006,-117.55833330000002,2022-06-02,0.3797629489573398,0.3812744588071596,0.3805762850382987,0.3839309248545327,0.3822326719638566,0.386817536109031,0.3852439403055049,0.3742722511592995,0.3746151088702123,0.35091332,0.30078125
low_amplitude,37.525000000000006,-117.55833330000002,2022-06-10,0.3797629489573398,0.3826370313303252,0.3802628312646291,0.3832587879527426,0.3830388740348458,0.3831103284180084,0.3855824430976302,0.3746918476224377,0.373156387656063,0.36788768,0.3203125
low_amplitude,37.525000000000006,-117.55833330000002,2022-06-18,0.2114360980036697,0.3842787651680917,0.381723059679464,0.3842790944509634,0.3850238382259671,0.3811593038828791,0.3867956152778567,0.3757449854462615,0.3655585975343019,0.37499022,0.359375
low_amplitude,37.525000000000006,-117.55833330000002,2022-06-26,0.2114360980036697,0.3868343295354886,0.3833861733836869,0.3857324549659024,0.3875968781057702,0.3827975332100822,0.3891664754744254,0.3822432707233073,0.3559233945102734,0.3800798,0.390625
low_amplitude,37.525000000000006,-117.55833330000002,2022-07-04,0.2114360980036697,0.3890107246761032,0.3856455713281794,0.3875803669217741,0.389705817298093,0.3878744870868329,0.3934252319755743,0.3843693055159079,0.3524661786296138,0.35726476,0.3828125
low_amplitude,37.525000000000006,-117.55833330000002,2022-07-12,0.3613520565181551,0.3902806275910856,0.3885005243865826,0.3901289928286598,0.3921454270542353,0.3888776238353141,0.3937991561966143,0.3683988951611876,0.3514449897389308,0.36306706,0.37304688
low_amplitude,37.525000000000006,-117.55833330000002,2022-07-20,0.3835749816252297,0.3901034734061018,0.3914051991586151,0.3919682728692515,0.3937114963921221,0.3903030188263624,0.3962216667636324,0.358796009045083,0.3511414190595492,0.3600758,0.34960938
low_amplitude,37.525000000000006,-117.55833330000002,2022-07-28,0.3835749816252297,0.3891927945839577,0.3927083361234358,0.3921418049426464,0.3926359174118631,0.391495681387722,0.3967766495237065,0.3613959597520368,0.3531123092475897,0.34545323,0.34570312
low_amplitude,37.525000000000006,-117.55833330000002,2022-08-05,0.3844880609269675,0.3868536866643046,0.3913503500402691,0.3900870092625159,0.3889006736363343,0.3893838962505793,0.3959160216980635,0.3469816118219259,0.3438363731983824,0.3639962,0.34765625
low_amplitude,37.525000000000006,-117.55833330000002,2022-08-13,0.3660771684877829,0.3717568666830466,0.3852475153766836,0.3835834843844609,0.3819986694430913,0.382301797846712,0.3893725595117102,0.3373441973419446,0.3290864443197599,0.3663314,0.3515625
low_amplitude,37.525000000000006,-117.55833330000002,2022-08-21,0.30381203266789,0.3546997552058409,0.3599994689453082,0.3595304525349573,0.3734111603103485,0.3595034748596817,0.3757742353190216,0.3325703875227672,0.3133393889135324,0.35094193,0.33398438
low_amplitude,37.525000000000006,-117.55833330000002,2022-08-29,0.2883000935948575,0.3448915709474374,0.3331529893737973,0.3412709881718815,0.3654487241489454,0.3462016228525642,0.3517709957437628,0.325650847220796,0.3070974990261886,0.34443384,0.31640625
low_amplitude,37.525000000000006,-117.55833330000002,2022-09-06,0.3844880609269675,0.3382108448439883,0.3279478738993332,0.3358788635464873,0.359124823077412,0.3397119513753264,0.3447230251575285,0.3257572220971835,0.3095270746050023,0.34448633,0.31835938
low_amplitude,37.525000000000006,-117.55833330000002,2022-09-14,0.3844880609269675,0.3332680972576675,0.335613978996396,0.3333329189429855,0.3541485591987915,0.335241207265407,0.3327670698481447,0.3320600185802974,0.2950973517745753,0.3309142,0.29882812
low_amplitude,37.525000000000006,-117.55833330000002,2022-09-22,0.3076240653357799,0.3300815093070349,0.3341652284416609,0.3284218295527598,0.3472833641265653,0.3337691952278057,0.3245785104346924,0.3278385371011314,0.2848481271084006,0.3135353,0.27734375
low_amplitude,37.525000000000006,-117.55833330000002,2022-09-30,0.3844880609269675,0.3283240795802701,0.3255593029883071,0.3256912748592503,0.3351372479587649,0.3247917916547447,0.3254093381604451,0.3139278364188068,0.2891118830888581,0.30611718,0.26171875
low_amplitude,37.525000000000006,-117.55833330000002,2022-10-08,0.2844880609269675,0.3249651590867037,0.3231533271254903,0.3255793186828665,0.3228869843226813,0.3190885887963982,0.3215444510142802,0.3107578115232696,0.3056344846589615,0.2902746,0.24023438
low_amplitude,37.525000000000006,-117.55833330000002,2022-10-24,0.1825021868625531,0.3205038936194488,0.3246057233120193,0.321726967806032,0.3126622337113505,0.2953779640930703,0.309960820551988,0.307815485683214,0.3167265917011923,0.28312543,0.22558594
low_amplitude,37.525000000000006,-117.55833330000002,2022-11-01,0.2806760282590776,0.3111002098487448,0.3115416605786919,0.3046189586049409,0.3000059642944397,0.2742139190387825,0.2985694912867787,0.302526361141375,0.3058170552041976,0.27131236,0.21972656
