site,model,predictor_set,n_predictors,predictors,RMSE,MAE,R2,Pearson_r,baseline_RMSE,baseline_MAE,baseline_R2,baseline_Pearson_r,delta_RMSE,delta_MAE,delta_R2,delta_Pearson_r
high_amplitude_deciduous,AELSTM,no_srad,6,"tmmx,tmmn,pr,vpd,sph,vs",0.6106716710194683,0.4566494125452379,0.906752079987612,0.9548663545332604,0.5131185490276505,0.3333454675486489,0.9341646672364492,0.966832290323584,0.09755312199181776,0.12330394499658898,-0.027412587248837217,-0.011965935790323567
high_amplitude_deciduous,BiLSTM,no_srad,6,"tmmx,tmmn,pr,vpd,sph,vs",0.5052787714188445,0.3762324360833229,0.9361610536113326,0.970567564612242,0.4152603391336414,0.2862535212722756,0.956881413587146,0.9794111563358704,0.09001843228520306,0.0899789148110473,-0.02072035997581334,-0.008843591723628363
high_amplitude_deciduous,LSTM,no_srad,6,"tmmx,tmmn,pr,vpd,sph,vs",0.6025904568448551,0.4576194629641986,0.9092037096327236,0.9550816378114896,0.4841476706470805,0.3293260085174674,0.9413889773009724,0.9710134503651208,0.11844278619777465,0.12829345444673118,-0.03218526766824881,-0.015931812553631186
high_amplitude_deciduous,GRU,no_srad,6,"tmmx,tmmn,pr,vpd,sph,vs",0.5475627124418457,0.4110056462138559,0.9250293392711708,0.9632299378219372,0.393047223676,0.2864433105708777,0.9613710350157588,0.9819227885206468,0.15451548876584575,0.1245623356429782,-0.03634169574458801,-0.01869285069870963
high_amplitude_deciduous,RNN,no_srad,6,"tmmx,tmmn,pr,vpd,sph,vs",0.4386662455114522,0.2927900240084893,0.9518837202502388,0.9800083548636456,0.4260640456792504,0.2955901090790109,0.95460862069852,0.9791241216637164,0.012602199832201844,-0.0028000850705215963,-0.00272490044828122,0.0008842331999291408
high_amplitude_deciduous,CNN,no_srad,6,"tmmx,tmmn,pr,vpd,sph,vs",0.5202158510599302,0.3919222772787487,0.9323308426930684,0.9683006827815565,0.487907218404951,0.3438821474669494,0.9404751797263274,0.9704944319630406,0.032308632654979186,0.04804012981179928,-0.008144337033259008,-0.0021937491814841836
high_amplitude_deciduous,RF,no_srad,6,"tmmx,tmmn,pr,vpd,sph,vs",0.3745283254880953,0.2693572550092024,0.9649253824879312,0.9836484506065892,0.4141766503085155,0.2858543115812303,0.9571061697454496,0.9792283392968696,-0.039648324820420244,-0.016497056572027935,0.007819212742481652,0.004420111309719643
high_amplitude_deciduous,SVM,no_srad,6,"tmmx,tmmn,pr,vpd,sph,vs",0.4035352959178521,0.335397775882165,0.9592819791790484,0.9808341130402998,0.4435991550983559,0.3355054587665454,0.950795476931212,0.9770896915210188,-0.040063859180503814,-0.00010768288438040008,0.008486502247836425,0.003744421519281005
high_amplitude_deciduous,AELSTM,no_temperature,5,"pr,srad,vpd,sph,vs",0.4815810525661572,0.3157503280773477,0.94200876079219,0.970851482844084,0.5131185490276505,0.3333454675486489,0.9341646672364492,0.966832290323584,-0.03153749646149334,-0.017595139471301202,0.007844093555740783,0.004019192520499981
high_amplitude_deciduous,BiLSTM,no_temperature,5,"pr,srad,vpd,sph,vs",0.3709958345059065,0.2562948942334401,0.9655838985765484,0.982829802010992,0.4152603391336414,0.2862535212722756,0.956881413587146,0.9794111563358704,-0.0442645046277349,-0.029958627038835506,0.008702484989402404,0.003418645675121623
high_amplitude_deciduous,LSTM,no_temperature,5,"pr,srad,vpd,sph,vs",0.503480250457899,0.3677113094887643,0.9366147094885016,0.967976917478644,0.4841476706470805,0.3293260085174674,0.9413889773009724,0.9710134503651208,0.01933257981081854,0.03838530097129689,-0.0047742678124708116,-0.0030365328864767616
high_amplitude_deciduous,GRU,no_temperature,5,"pr,srad,vpd,sph,vs",0.4108537294303488,0.2918902532177215,0.9577916793549934,0.9796760415465552,0.393047223676,0.2864433105708777,0.9613710350157588,0.9819227885206468,0.017806505754348834,0.005446942646843811,-0.003579355660765393,-0.0022467469740916624
high_amplitude_deciduous,RNN,no_temperature,5,"pr,srad,vpd,sph,vs",0.4471101104360752,0.3034836977742308,0.950013516313542,0.9766979378642195,0.4260640456792504,0.2955901090790109,0.95460862069852,0.9791241216637164,0.0210460647568248,0.007893588695219889,-0.0045951043849780104,-0.002426183799496884
high_amplitude_deciduous,CNN,no_temperature,5,"pr,srad,vpd,sph,vs",0.415104439030033,0.3018451598675239,0.9569137833061312,0.9790717624631138,0.487907218404951,0.3438821474669494,0.9404751797263274,0.9704944319630406,-0.07280277937491797,-0.04203698759942548,0.016438603579803757,0.008577330500073144
high_amplitude_deciduous,RF,no_temperature,5,"pr,srad,vpd,sph,vs",0.4255478755583447,0.3004327366152235,0.9547185360111712,0.9778973720929842,0.4141766503085155,0.2858543115812303,0.9571061697454496,0.9792283392968696,0.011371225249829198,0.014578425033993203,-0.002387633734278416,-0.0013309672038853693
