RMSE,MAE,MAPE,R2,Pearson_r,pixel_id,condition,experiment,dominant_pft,pft_purity,pft_entropy
0.1724162131558017,0.1190566890769534,10.455929672659313,0.8311838549408023,0.9787459857572294,px019_shrubs_bd,baseline,expA_temporal,SHRUBS_BD,0.5099999904632568,0.6929471492767334
0.2263265189749173,0.1698031379116906,24.902037650594107,0.903619841092313,0.9714166706300787,px020_trees_ne,baseline,expA_temporal,TREES_NE,0.5555555820465088,0.6869615316390991
0.0974950340828971,0.0700335183077388,19.60601167052961,0.9077044703010096,0.9538187940543102,px021_grass_nat,baseline,expA_temporal,GRASS_NAT,0.5600000023841858,0.6859297752380371
0.1482719780403393,0.1130480522082911,33.14480660715197,0.9648798567607494,0.983799560617954,px022_grass_nat,baseline,expA_temporal,GRASS_NAT,0.6172839403152466,0.9304575324058532
0.3398093605877191,0.2548140135076311,31.492727820800265,0.7677654276594635,0.9541123485553832,px023_shrubs_ne,baseline,expA_temporal,SHRUBS_NE,0.6899999976158142,0.8338149785995483
0.1061564215010593,0.0780798885557386,11.309585669254906,0.7089755721285109,0.891603669219748,px024_shrubs_bd,baseline,expA_temporal,SHRUBS_BD,0.6600000262260437,0.8743470907211304
0.0656910873920515,0.0522467275460561,11.562059564939734,0.3935082297538558,0.7047914521327543,px025_grass_nat,baseline,expA_temporal,GRASS_NAT,0.6419753432273865,0.8985178470611572
0.1079049640342544,0.0900147659911049,11.885296285403484,0.9479485944531691,0.981856774892609,px026_trees_nd,baseline,expA_temporal,TREES_ND,0.75,0.5623351335525513
0.151337414000036,0.1102395196755727,13.812511880958764,0.8361180813087761,0.943975053670158,px027_grass_man,baseline,expA_temporal,GRASS_MAN,0.75,0.5623351335525513
0.1880260851185845,0.151791465944714,57.92985780637141,0.4624167439661291,0.7077794940927686,px028_grass_nat,baseline,expA_temporal,GRASS_NAT,0.5813953280448914,0.9641510844230652
0.2414080261963776,0.1755062952637672,22.763428125814,0.9500261604521052,0.9754548403014872,px029_grass_man,baseline,expA_temporal,GRASS_MAN,0.4900000095367431,1.0463541746139526
0.6201539152149065,0.4668170306417677,31.074436912508496,0.688589833812095,0.8421631918437541,px030_grass_man,baseline,expA_temporal,GRASS_MAN,0.4900000095367431,1.0463541746139526
0.3214053990041965,0.2494502531985442,91.74287896281066,0.965064199883504,0.9838768710662926,px031_trees_bd,baseline,expA_temporal,TREES_BD,0.7200000286102295,0.5929533243179321
0.364820814474582,0.2454878743324015,64.41071916413222,0.8792125963658586,0.9466527993483926,px032_grass_man,baseline,expA_temporal,GRASS_MAN,0.7599999904632568,0.5510799288749695
0.1596599109002635,0.1120421800348493,14.23987353234338,0.9870927083213116,0.9938583270246945,px033_trees_ne,baseline,expA_temporal,TREES_NE,0.7300000190734863,0.583258867263794
0.4227144909826313,0.3169101993242899,17.17449717687322,0.6303700707736581,0.8457498079134715,px034_grass_man,baseline,expA_temporal,GRASS_MAN,0.7599999904632568,0.5510799288749695
0.1699956416171294,0.139514234330919,22.604658034549686,0.5342706384852433,0.7963811573242308,px035_shrubs_nd,baseline,expA_temporal,SHRUBS_ND,0.7599999904632568,0.5510799288749695
0.3033576631539076,0.230857722999321,84.06133193234115,0.9632775339149444,0.9887707884627496,px036_grass_man,baseline,expA_temporal,GRASS_MAN,0.4900000095367431,1.0463541746139526
0.2619932335090694,0.19570741587215,34.63976507262805,0.9530476379886804,0.980843748537538,px037_trees_nd,baseline,expA_temporal,TREES_ND,0.7699999809265137,0.5392763614654541
0.2329159650169206,0.1850197103288438,22.06708271210694,0.9102430787034124,0.9561004716047314,px038_grass_nat,baseline,expA_temporal,GRASS_NAT,0.6419753432273865,0.6522731781005859
0.2543775874120183,0.1821390297677781,14.19846758416731,0.9446805930568648,0.9729462570468266,px039_trees_ne,baseline,expA_temporal,TREES_NE,0.7525773048400879,0.559485912322998
0.1436228003416441,0.1065678826636738,18.29069048437689,0.9537946700190716,0.9823003385893224,px040_trees_bd,baseline,expA_temporal,TREES_BD,0.6969696879386902,0.6134100556373596
0.0580217407228792,0.0443824253769384,53.73177657143761,0.927610989545553,0.9807690073565992,px041_grass_nat,baseline,expA_temporal,GRASS_NAT,0.785714328289032,0.5195798277854919
0.3502004542922876,0.2488070612152417,42.1597686678188,0.9571510193913207,0.9821113261111616,px042_grass_nat,baseline,expA_temporal,GRASS_NAT,0.6499999761581421,0.6474466323852539
0.2102498676175375,0.1451698667059342,40.7949862809486,0.972519678614319,0.9886298518327225,px043_grass_nat,baseline,expA_temporal,GRASS_NAT,0.7900000214576721,0.5139566659927368
0.2738395288099793,0.2094520118501451,12.553087644115244,0.9403828161201224,0.9698494558438248,px044_grass_nat,baseline,expA_temporal,GRASS_NAT,0.800000011920929,0.5004023909568787
0.1117053183022304,0.0859864910443623,18.81879149754782,-0.7235426292205627,0.7353404253699508,px045_grass_nat,baseline,expA_temporal,GRASS_NAT,0.6200000047683716,0.6640641093254089
0.0727060350668177,0.0609376238452063,12.006877980834108,0.8223820373728303,0.9557059056491326,px046_grass_nat,baseline,expA_temporal,GRASS_NAT,0.8202247619628906,0.4710525274276733
