pixel_id,experiment,dominant_pft,pft_purity,pft_entropy,baseline,dominant,fractional,delta_fractional_vs_baseline,delta_dominant_vs_baseline,delta_fractional_vs_dominant
px029_grass_man,expA_temporal,GRASS_MAN,0.4900000095367431,1.0463541746139526,0.9500261604521052,0.9510897330013928,0.9513678806424593,0.0013417201903540565,0.0010635725492875725,0.00027814764106648404
px030_grass_man,expA_temporal,GRASS_MAN,0.4900000095367431,1.0463541746139526,0.688589833812095,0.6893855125765114,0.6899168594160725,0.0013270256039774608,0.0007956787644163299,0.0005313468395611309
px031_trees_bd,expA_temporal,TREES_BD,0.7200000286102295,0.5929533243179321,0.965064199883504,0.965320141941258,0.9653052770161648,0.0002410771326607497,0.0002559420577540328,-1.4864925093283077e-05
px032_grass_man,expA_temporal,GRASS_MAN,0.7599999904632568,0.5510799288749695,0.8792125963658586,0.8810604264944079,0.8813073685188881,0.002094772153029556,0.001847830128549277,0.0002469420244802789
px033_trees_ne,expA_temporal,TREES_NE,0.7300000190734863,0.583258867263794,0.9870927083213116,0.9866386394259694,0.986629499650058,-0.000463208671253601,-0.00045406889534216344,-9.139775911437553e-06
px034_grass_man,expA_temporal,GRASS_MAN,0.7599999904632568,0.5510799288749695,0.6303700707736581,0.6342129162839518,0.6343661059672421,0.0039960351935839356,0.00384284551029368,0.00015318968329025573
px035_shrubs_nd,expA_temporal,SHRUBS_ND,0.7599999904632568,0.5510799288749695,0.5342706384852433,0.5336662460645282,0.5344820267463659,0.00021138826112265807,-0.000604392420715083,0.0008157806818377411
px036_grass_man,expA_temporal,GRASS_MAN,0.4900000095367431,1.0463541746139526,0.9632775339149444,0.9622046415877896,0.9617746911138356,-0.0015028428011087946,-0.0010728923271547952,-0.00042995047395399943
px037_trees_nd,expA_temporal,TREES_ND,0.7699999809265137,0.5392763614654541,0.9530476379886804,0.9524322427182624,0.95228587168916,-0.0007617662995204055,-0.0006153952704179844,-0.00014637102910242117
px038_grass_nat,expA_temporal,GRASS_NAT,0.6419753432273865,0.6522731781005859,0.9102430787034124,0.9118566633328106,0.9115539597030188,0.001310880999606412,0.0016135846293982015,-0.00030270362979178955
px039_trees_ne,expA_temporal,TREES_NE,0.7525773048400879,0.559485912322998,0.9446805930568648,0.9435944894744648,0.9433184756216868,-0.0013621174351780008,-0.001086103582400022,-0.00027601385277797874
px039_trees_ne,expB_spatial,TREES_NE,0.7525773048400879,0.559485912322998,0.9446806000081266,0.9441327828701735,0.9441645648716428,-0.0005160351364837945,-0.0005478171379530439,3.1782001469249366e-05
px040_trees_bd,expA_temporal,TREES_BD,0.6969696879386902,0.6134100556373596,0.9537946700190716,0.9533022449098988,0.953485023353352,-0.00030964666571964283,-0.0004924251091728005,0.00018277844345315764
px041_grass_nat,expA_temporal,GRASS_NAT,0.785714328289032,0.5195798277854919,0.927610989545553,0.9246392459496422,0.9242849566180228,-0.003326032927530198,-0.002971743595910792,-0.00035428933161940623
px042_grass_nat,expA_temporal,GRASS_NAT,0.6499999761581421,0.6474466323852539,0.9571510193913207,0.9564863511386376,0.9569475659094884,-0.00020345348183237189,-0.0006646682526831871,0.0004612147708508152
px043_grass_nat,expA_temporal,GRASS_NAT,0.7900000214576721,0.5139566659927368,0.972519678614319,0.9739205463882754,0.9738460479479008,0.0013263693335817672,0.0014008677739564268,-7.449844037465958e-05
px043_grass_nat,expB_spatial,GRASS_NAT,0.7900000214576721,0.5139566659927368,0.972519657104193,0.97283286239364,0.9722159319071192,-0.00030372519707377865,0.000313205289447005,-0.0006169304865207836
px044_grass_nat,expA_temporal,GRASS_NAT,0.800000011920929,0.5004023909568787,0.9403828161201224,0.9421759868152528,0.942533545892246,0.002150729772123605,0.0017931706951304083,0.0003575590769931969
px045_grass_nat,expA_temporal,GRASS_NAT,0.6200000047683716,0.6640641093254089,-0.7235426292205627,-0.6997698391543428,-0.7195091681689179,0.0040334610516448155,0.023772790066219907,-0.01973932901457509
px046_grass_nat,expA_temporal,GRASS_NAT,0.8202247619628906,0.4710525274276733,0.8223820373728303,0.8305845264021638,0.8267883759568027,0.004406338583972325,0.008202489029333515,-0.0037961504453611905
px047_grass_nat,expA_temporal,GRASS_NAT,0.8199999928474426,0.4713934957981109,-0.3475778734163273,-0.339761862524792,-0.3449412231078959,0.0026366503084314097,0.007816010891535274,-0.005179360583103865
px048_grass_nat,expA_temporal,GRASS_NAT,0.6299999952316284,0.6589556932449341,0.9298278877730548,0.9264862701024263,0.9266342457803824,-0.003193641992672358,-0.0033416176706284606,0.00014797567795610256
px048_grass_nat,expB_spatial,GRASS_NAT,0.6299999952316284,0.6589556932449341,0.9298278854927484,0.9276376415011772,0.9279610550033248,-0.0018668304894235987,-0.0021902439915711946,0.0003234135021475959
px049_grass_nat,expA_temporal,GRASS_NAT,0.6399999856948853,0.6991131901741028,0.4368742795814649,0.4350473802370684,0.4343666905929058,-0.0025075889885591285,-0.0018268993443965043,-0.0006806896441626242
px050_shrubs_ne,expA_temporal,SHRUBS_NE,0.6800000071525574,0.6268694400787354,0.8897378330249095,0.8901459150133623,0.8893185733217676,-0.0004192597031419387,0.00040808198845276866,-0.0008273416915947074
px051_shrubs_ne,expA_temporal,SHRUBS_NE,0.5300000309944153,0.9856724739074708,0.8746852409726085,0.8755097534171622,0.8756348427925148,0.0009496018199063316,0.0008245124445537266,0.000125089375352605
px052_shrubs_bd,expA_temporal,SHRUBS_BD,0.5099999904632568,0.9947689771652222,0.9514084810065238,0.9515494863214696,0.951774926396718,0.0003664453901942588,0.00014100531494587454,0.00022544007524838428
