RMSE,MAE,MAPE,R2,Pearson_r,site,source,test_year,context_steps,dominant_pft,pft_purity,region,n_pixels_done,gridmet_RMSE,gridmet_MAE,gridmet_MAPE,gridmet_R2,gridmet_Pearson_r,R2_diff_era5_minus_gridmet
0.2480213745958002,0.1807186790638499,22.5442343038656,0.9472505995271812,0.9738907097675146,px029_grass_man,ERA5-cloud,2022,1002,GRASS_MAN,0.4900000095367431,Midwest,30,0.241408,0.175506,22.763408,0.950026,0.975455,-0.0027754004728188786
0.342084156707027,0.2041279802719752,16.012835672036665,0.947160015756266,0.9756606729475042,px052_shrubs_bd,ERA5-cloud,2022,1002,SHRUBS_BD,0.5099999904632568,Midwest,53,0.328044,0.193503,15.556806,0.951408,0.977001,-0.004247984243734071
0.1640710866060143,0.1316831920709875,43.211797480449526,0.9462275111475684,0.9742188735181032,px012_trees_nd,ERA5-cloud,2022,1002,TREES_ND,0.5,Pacific Northwest,13,0.154173,0.1249,40.398167,0.95252,0.976323,-0.00629248885243161
0.3174466150978228,0.2287164231141408,16.790001029066865,0.9444853867773862,0.9764652913553408,px058_grass_nat,ERA5-cloud,2022,1002,GRASS_NAT,0.644444465637207,Southeast,59,0.328341,0.236251,17.116355,0.940609,0.972295,0.0038763867773862204
0.2045229406377635,0.1368451131223183,774.3685941827864,0.9421082752214603,0.9753012571899632,px069_trees_bd,ERA5-cloud,2022,1002,TREES_BD,0.6000000238418579,Great Plains,70,0.22835,0.153081,877.163878,0.927834,0.967147,0.014274275221460297
0.2632962176555403,0.1952678084373474,15.12232089057014,0.9407335289862172,0.9715321742680896,px039_trees_ne,ERA5-cloud,2022,1002,TREES_NE,0.7525773048400879,Northeast,40,0.254378,0.182139,14.198463,0.944681,0.972946,-0.003947471013782788
0.1650138189093666,0.1178857940766546,19.715812489742497,0.939006167031872,0.9748724262702326,px040_trees_bd,ERA5-cloud,2022,1002,TREES_BD,0.6969696879386902,Midwest,41,0.143623,0.106568,18.290686,0.953795,0.9823,-0.01478883296812794
0.0532601993131873,0.0400917310474647,43.800998048126885,0.939004652965657,0.9821804142047088,px041_grass_nat,ERA5-cloud,2022,1002,GRASS_NAT,0.785714328289032,Northern Rockies / Great Basin,42,0.058022,0.044382,53.731771,0.927611,0.980769,0.011393652965657086
0.1921756804824987,0.1420936697059207,51.94015952411024,0.9386774384776948,0.9789616201090862,px066_grass_man,ERA5-cloud,2022,1002,GRASS_MAN,0.6399999856948853,Northern Rockies / Great Basin,67,0.189504,0.139365,52.745504,0.940371,0.979193,-0.0016935615223051537
0.1541838440806842,0.1208411170376671,13.08289313276745,0.938243459556966,0.9709094635409884,px065_trees_ne,ERA5-cloud,2022,1002,TREES_NE,0.8600000143051147,Pacific Northwest,66,0.155534,0.127104,13.775969,0.937157,0.97222,0.0010864595569659574
